,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
79,"Micronesia, Fed. Sts.",FSM,Gini index,SI.POV.GINI,,,,,,42.4,42.1125,41.825,41.5375,41.25,40.9625,40.675,40.3875,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
80,Gabon,GAB,Gini index,SI.POV.GINI,,,,,,42.2,41.85,41.5,41.150000000000006,40.800000000000004,40.45,40.1,39.75,39.4,39.05,38.7,38.35,38.0,38.0,38.0,38.0,38.0,38.0
81,United Kingdom,GBR,Gini index,SI.POV.GINI,38.8,37.1,35.1,34.9,34.8,35.5,35.9,34.4,35.4,35.1,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.6,32.6,32.6
82,Georgia,GEO,Gini index,SI.POV.GINI,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39.0,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,34.2
83,Ghana,GHA,Gini index,SI.POV.GINI,,,,,,42.8,42.74285714285714,42.68571428571428,42.628571428571426,42.57142857142857,42.51428571428571,42.457142857142856,42.4,42.675,42.95,43.225,43.5,43.5,43.5,43.5,43.5,43.5,43.5
85,Guinea,GIN,Gini index,SI.POV.GINI,,,43.0,42.28,41.56,40.839999999999996,40.12,39.4,38.26,37.12,35.980000000000004,34.84,33.7,33.016666666666666,32.333333333333336,31.650000000000002,30.96666666666667,30.283333333333335,29.6,29.6,29.6,29.6,29.6
86,"Gambia, The",GMB,Gini index,SI.POV.GINI,,,,47.3,46.77142857142857,46.24285714285714,45.714285714285715,45.18571428571428,44.65714285714286,44.12857142857143,43.6,42.06,40.52,38.980000000000004,37.44,35.9,36.48,37.059999999999995,37.64,38.22,38.8,38.8,38.8
87,Guinea-Bissau,GNB,Gini index,SI.POV.GINI,,,35.6,37.487500000000004,39.375,41.2625,43.150000000000006,45.0375,46.925000000000004,48.8125,50.7,48.712500000000006,46.725,44.7375,42.75,40.7625,38.775,36.787499999999994,34.8,34.8,34.8,34.8,34.8
89,Greece,GRC,Gini index,SI.POV.GINI,34.2,33.733333333333334,33.266666666666666,32.8,33.6,34.6,35.1,34.0,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36.0,35.0,34.4,32.9,33.1,33.6,33.6,33.6
92,Guatemala,GTM,Gini index,SI.POV.GINI,54.2,54.266666666666666,54.333333333333336,54.400000000000006,54.46666666666667,54.53333333333333,54.6,53.8125,53.025,52.2375,51.45,50.6625,49.875,49.0875,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
97,Honduras,HND,Gini index,SI.POV.GINI,,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,52.6,53.4,50.0,49.9,49.2,49.8,49.4,48.9,48.2,48.2,48.2,48.2
99,Croatia,HRV,Gini index,SI.POV.GINI,,,,,,,,,,32.6,32.4,32.3,32.5,32.0,32.1,31.1,30.9,30.4,29.7,28.9,29.5,29.5,29.5
100,Haiti,HTI,Gini index,SI.POV.GINI,,,,,,,,,,,,,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
